MatchNo,PlayerA,PlayerB,Result,MMR_A,MMR_B
11966,Player84,Player159,TEAM_A_WIN,845,895
11967,Player84,Player36,TEAM_B_WIN,830,955
11968,Player174,Player36,TEAM_A_WIN,805,940
11969,Player21,Player171,TEAM_B_WIN,875,980
11970,Player166,Player39,TEAM_A_WIN,985,910
11971,Player87,Player80,TEAM_A_WIN,920,880
11972,Player87,Player171,TEAM_A_WIN,940,965
11973,Player168,Player150,TEAM_A_WIN,915,990
11974,Player166,Player80,TEAM_B_WIN,970,900
11975,Player166,Player21,TEAM_B_WIN,955,895
11976,Player171,Player16,TEAM_A_WIN,985,835
11977,Player54,Player87,TEAM_A_WIN,875,925
11978,Player87,Player20,TEAM_A_WIN,945,660
11979,Player66,Player20,TEAM_B_WIN,880,680
11980,Player166,Player20,TEAM_B_WIN,940,700
11981,Player150,Player21,TEAM_B_WIN,975,915
11982,Player80,Player171,TEAM_B_WIN,885,1005
11983,Player66,Player80,TEAM_A_WIN,900,870
11984,Player168,Player16,TEAM_A_WIN,935,820
11985,Player150,Player54,TEAM_B_WIN,960,895
11986,Player54,Player20,TEAM_A_WIN,915,685
11987,Player54,Player168,TEAM_B_WIN,900,955
11988,Player66,Player39,TEAM_B_WIN,885,930
11989,Player168,Player66,TEAM_A_WIN,975,870
11990,Player39,Player16,TEAM_A_WIN,950,805
11991,Player150,Player39,TEAM_B_WIN,945,970
11992,Player21,Player16,TEAM_A_WIN,935,790
11993,Player162,Player14,TEAM_B_WIN,910,1020
11994,Player160,Player15,TEAM_A_WIN,1085,975
11995,Player198,Player160,TEAM_A_WIN,955,1070
11996,Player15,Player51,TEAM_A_WIN,995,880
11997,Player51,Player138,TEAM_A_WIN,900,915
11998,Player78,Player15,TEAM_A_WIN,985,980
11999,Player72,Player138,TEAM_B_WIN,985,935
12000,Player113,Player140,TEAM_A_WIN,915,950
12001,Player138,Player14,TEAM_B_WIN,920,1040
12002,Player78,Player6,TEAM_B_WIN,970,950
12003,Player140,Player72,TEAM_A_WIN,970,970
12004,Player113,Player138,TEAM_A_WIN,935,905
12005,Player15,Player51,TEAM_A_WIN,1000,885
12006,Player140,Player113,TEAM_A_WIN,990,920
12007,Player113,Player78,TEAM_B_WIN,905,990
12008,Player51,Player140,TEAM_B_WIN,870,1010
12009,Player6,Player162,TEAM_A_WIN,970,895
12010,Player160,Player78,TEAM_A_WIN,1090,975
12011,Player14,Player160,TEAM_B_WIN,1025,1110
12012,Player198,Player162,TEAM_B_WIN,940,915
12013,Player198,Player162,TEAM_A_WIN,960,900
12014,Player14,Player198,TEAM_B_WIN,1010,980
12015,Player72,Player6,TEAM_A_WIN,990,955
12016,Player6,Player72,TEAM_A_WIN,975,975
12017,Player92,Player105,TEAM_B_WIN,1060,1055
12018,Player38,Player45,TEAM_B_WIN,1015,1095
12019,Player48,Player94,TEAM_B_WIN,1055,1085
12020,Player45,Player94,TEAM_A_WIN,1115,1070
12021,Player129,Player62,TEAM_A_WIN,1020,1045
12022,Player45,Player38,TEAM_B_WIN,1100,1035
12023,Player38,Player94,TEAM_B_WIN,1020,1090
12024,Player48,Player191,TEAM_A_WIN,1075,965
12025,Player92,Player45,TEAM_A_WIN,1080,1085
